,Coupon Description,Product,Region,Country,Postal Code
0,10% off on Cosmetics! Limited time offer.,Office Supplies,Sub-Saharan Africa,Cyprus,85425
1,Buy 1 Get 1 off on Baby Food! Limited time offer.,Cosmetics,Central America and the Caribbean,Indonesia,00928
2,10% off on Vegetables! Limited time offer.,Snacks,Sub-Saharan Africa,Italy,91500
3,Free Shipping off on Beverages! Limited time offer.,Cosmetics,Europe,Bosnia and Herzegovina,91630
4,Buy 1 Get 1 off on Snacks! Limited time offer.,Fruits,Asia,Nigeria,47249
5,25% off on Meat! Limited time offer.,Fruits,Europe,Philippines,33995
6,25% off on Fruits! Limited time offer.,Cosmetics,Australia and Oceania,Botswana,29385
7,Buy 1 Get 1 off on Cosmetics! Limited time offer.,Household,Australia and Oceania,Russia,22930
8,Buy 1 Get 1 off on Clothes! Limited time offer.,Snacks,Central America and the Caribbean,Cote d'Ivoire,69695
9,Free Shipping off on Personal Care! Limited time offer.,Fruits,Central America and the Caribbean,Spain,52065
10,Free Shipping off on Clothes! Limited time offer.,Cosmetics,Australia and Oceania,Eritrea,51653
11,10% off on Cosmetics! Limited time offer.,Clothes,Asia,Haiti,82385
12,Buy 1 Get 1 off on Personal Care! Limited time offer.,Cereal,North America,Slovakia,78177
13,Free Shipping off on Cereal! Limited time offer.,Cosmetics,Australia and Oceania,Saudi Arabia,18204
14,Free Shipping off on Household! Limited time offer.,Clothes,Middle East and North Africa,Canada,71187
15,25% off on Snacks! Limited time offer.,Vegetables,Central America and the Caribbean,Mozambique,69462
16,Free Shipping off on Personal Care! Limited time offer.,Meat,Asia,Djibouti,53469
17,10% off on Cosmetics! Limited time offer.,Baby Food,Central America and the Caribbean,Guinea,78533
18,Buy 1 Get 1 off on Snacks! Limited time offer.,Snacks,Middle East and North Africa,Saint Lucia,25967
19,Free Shipping off on Vegetables! Limited time offer.,Household,Sub-Saharan Africa,Singapore,93870
20,Free Shipping off on Beverages! Limited time offer.,Fruits,Middle East and North Africa,Canada,80616
21,Buy 1 Get 1 off on Cereal! Limited time offer.,Cereal,Asia,Tunisia ,63957
22,Free Shipping off on Office Supplies! Limited time offer.,Snacks,Central America and the Caribbean,Kuwait,82768
23,Free Shipping off on Cereal! Limited time offer.,Meat,Middle East and North Africa,Slovakia,81393
24,10% off on Cereal! Limited time offer.,Cereal,Central America and the Caribbean,Montenegro,49525
25,10% off on Office Supplies! Limited time offer.,Meat,North America,Greenland,11923
26,10% off on Cosmetics! Limited time offer.,Cosmetics,Europe,Honduras,06453
27,Buy 1 Get 1 off on Baby Food! Limited time offer.,Beverages,Asia,Nauru,33586
28,Buy 1 Get 1 off on Meat! Limited time offer.,Office Supplies,Middle East and North Africa,Burundi,79510
29,25% off on Baby Food! Limited time offer.,Clothes,Sub-Saharan Africa,Liechtenstein,06792
30,25% off on Vegetables! Limited time offer.,Fruits,Sub-Saharan Africa,Israel,53559
31,Buy 1 Get 1 off on Fruits! Limited time offer.,Cereal,Australia and Oceania,Mozambique,38257
32,10% off on Personal Care! Limited time offer.,Cosmetics,North America,Comoros,90544
33,Free Shipping off on Fruits! Limited time offer.,Meat,Central America and the Caribbean,Saint Vincent and the Grenadines,32121
34,25% off on Vegetables! Limited time offer.,Meat,Central America and the Caribbean,Rwanda,28300
35,Free Shipping off on Vegetables! Limited time offer.,Cosmetics,Central America and the Caribbean,Hungary,16254
36,Free Shipping off on Personal Care! Limited time offer.,Household,Central America and the Caribbean,Central African Republic,49237
37,25% off on Baby Food! Limited time offer.,Beverages,Sub-Saharan Africa,Azerbaijan,81507
