,Coupon Description,Product,Region,Country,City,Postal Code
0,,Beverages,Central America and the Caribbean,Guinea,East Ryan,21764
1,Free Shipping off on Office Supplies! Limited time offer.,,Australia and Oceania,Albania,Robertsonview,52879
2,Buy 1 Get 1 off on Baby Food! Limited time offer.,Fruits,Sub-Saharan Africa,Tunisia ,North Tiffanyview,18854
3,Buy 1 Get 1 off on Personal Care! Limited time offer.,Office Supplies,,Mozambique,Port Jamesstad,61285
4,25% off on Personal Care! Limited time offer.,Snacks,Middle East and North Africa,Tanzania,South Jennifer,64041
5,Buy 1 Get 1 off on Cereal! Limited time offer.,Personal Care,North America,Democratic Republic of the Congo,West Dannyland,32324
6,Buy 1 Get 1 off on Vegetables! Limited time offer.,Household,Central America and the Caribbean,Maldives,Thomasburgh,99575
7,25% off on Cereal! Limited time offer.,Office Supplies,Central America and the Caribbean,,Lauramouth,02041
8,10% off on Cosmetics! Limited time offer.,Cereal,North America,Liechtenstein,North Jeffrey,
9,Buy 1 Get 1 off on Meat! Limited time offer.,Cereal,Central America and the Caribbean,Liberia,Williamsland,46476
10,Free Shipping off on Fruits! Limited time offer.,Clothes,Sub-Saharan Africa,,Kellytown,34982
11,,Meat,,Laos,Christineside,69047
12,Buy 1 Get 1 off on Cereal! Limited time offer.,Fruits,,Lebanon,Mckenzieside,19272
13,,Fruits,Middle East and North Africa,Liechtenstein,North Jonhaven,58889
14,Free Shipping off on Household! Limited time offer.,Household,Europe,Israel,New Craig,87290
15,Free Shipping off on Snacks! Limited time offer.,Vegetables,Sub-Saharan Africa,,East Kimbury,99427
16,Buy 1 Get 1 off on Beverages! Limited time offer.,Clothes,Sub-Saharan Africa,Estonia,South Matthew,46821
17,10% off on Fruits! Limited time offer.,,North America,Germany,Martinezshire,
18,25% off on Household! Limited time offer.,Clothes,Sub-Saharan Africa,Bhutan,East Paul,55719
19,Free Shipping off on Office Supplies! Limited time offer.,Fruits,Asia,Tajikistan,Port Travishaven,46265
20,Buy 1 Get 1 off on Cosmetics! Limited time offer.,Beverages,Europe,Benin,,52906
21,Free Shipping off on Beverages! Limited time offer.,Fruits,Middle East and North Africa,Greenland,East Anthony,
22,,Personal Care,Sub-Saharan Africa,Kazakhstan,,89436
23,25% off on Household! Limited time offer.,Cosmetics,Sub-Saharan Africa,Maldives,New Abigail,29769
24,,Snacks,North America,Maldives,West Samuel,58672
25,Free Shipping off on Beverages! Limited time offer.,Clothes,Australia and Oceania,Germany,,24453
26,Buy 1 Get 1 off on Fruits! Limited time offer.,,North America,Panama,Shannonton,55511
27,25% off on Vegetables! Limited time offer.,Baby Food,Central America and the Caribbean,,,98298
